Nome,cargo.partido,pontuação inicial,presença,privilégios,participação,processos,outros,qualidade,pontuação
Márcio Luiz França Gomes (Márcio França),Deputado Federal - PSB,200,-60,10,-5,-25,20,-71,69
José Saraiva Felipe (Saraiva Felipe),Deputado Federal - PMDB,200,-55,-20,0,0,10,-65,70
Fábio Salustino Mesquita de Faria (Fábio Faria),Deputado Federal - PSD,200,-65,-25,0,0,10,-49,71
Odair José da Cunha (Odair Cunha),Deputado Federal - PT,200,-20,-25,10,0,0,-94,71
Jacob Alfredo Stoffels Kaefer (Alfredo Kaefer),Deputado Federal - PSDB,200,-10,-30,0,-225,20,117,72
José Henrique Oliveira (Henrique Oliveira),Deputado Federal - SDD,200,-10,-5,0,-100,-40,27,72
Luis Carlos Heinze (Luis Carlos Heinze),Deputado Federal - PP,200,45,-45,0,-25,0,-103,72
Vinicius de Azevedo Gurgel (Vinicius Gurgel),Deputado Federal - PR,200,-125,-5,0,-25,0,27,72
átila Freitas Lira (átila Lira),Deputado Federal - PSB,200,-15,55,0,0,-30,-137,73
Luiz Paulo Teixeira Ferreira (Paulo Teixeira),Deputado Federal - PT,200,45,-25,0,-25,20,-141,74
Paulo Rubem Santiago Ferreira (Paulo Rubem Santiago),Deputado Federal - PDT,200,-30,-45,0,0,10,-61,74
George Hilton Dos Santos Cecílio (George Hilton),Deputado Federal - PRB,200,-20,-20,0,0,-20,-65,75
Márcio Henrique Junqueira Pereira (Marcio Junqueira),Deputado Federal - PROS,200,5,10,0,-225,-50,135,75
José Roberto Santiago Gomes (Roberto Santiago),Deputado Federal - PSD,200,60,-5,0,-100,0,-78,77
Carlos Eduardo Vieira da Cunha (Vieira da Cunha),Deputado Federal - PDT,200,30,-30,0,0,20,-142,78
João Paulo Lima E Silva (João Paulo Lima),Deputado Federal - PT,200,40,10,20,-225,20,13,78
Júlio César Delgado (Júlio Delgado),Deputado Federal - PSB,200,50,-30,20,-100,0,-62,78
Francisco Mozarildo de Melo Cavalcanti (Mozarildo Cavalcanti),Senador - PTB,200,Não disponível,-95,0,-25,-20,20,80
Luiza Erundina de Sousa (Luiza Erundina),Deputado Federal - PSB,200,50,-5,0,-25,10,-150,80
Sétimo Waquim (Professor Setimo),Deputado Federal - PMDB,200,-40,-35,0,0,20,-65,80
Enio Egon Bergmann Bacci (Enio Bacci),Deputado Federal - PDT,200,-45,-40,0,-25,20,-28,82
Marco Aurélio Ubiali (Dr. Ubiali),Deputado Federal - PSB,200,45,-15,10,0,0,-158,82
Simão Sessim (Simão Sessim),Deputado Federal - PP,200,45,-20,-10,0,-60,-72,83
Dionilso Mateus Marcon (Marcon),Deputado Federal - PT,200,-50,10,0,-75,10,-11,84
Valtenir Luiz Pereira (Valtenir Pereira),Deputado Federal - PROS,200,55,-30,0,0,0,-138,87
Marçal Gonçalves Leite Filho (Marçal Filho),Deputado Federal - PMDB,200,35,-30,0,-125,-10,18,88
Edson Edinho Coelho Araújo (Edinho Araújo),Deputado Federal - PMDB,200,95,15,0,-300,-10,89,89
Eduardo Henrique da Fonte de Albuquerque Silva (Eduardo da Fonte),Deputado Federal - PP,200,-20,-15,0,0,10,-85,90
Miguel Corrêa da Silva Júnior (Miguel Corrêa),Deputado Federal - PT,200,-100,-15,0,0,10,-5,90
Osmar Gasparini Terra (Osmar Terra),Deputado Federal - PMDB,200,-45,-5,0,-100,20,20,90
Genecias Mateus Noronha (Genecias Noronha),Deputado Federal - SDD,200,-30,5,0,-125,0,41,91
Armando de Queiroz Monteiro Neto (Armando Monteiro),Senador - PTB,200,Não disponível,-10,0,0,0,-98,92
José Airton Félix Cirilo da Silva (José Airton),Deputado Federal - PT,200,-25,-40,0,-100,10,47,92
Marco Aurélio Spall Maia (Marco Maia),Deputado Federal - PT,200,-5,-15,0,-50,10,-48,92
Luiz Fernando Ramos Faria (Luiz Fernando Faria),Deputado Federal - PP,200,-10,-20,0,0,0,-77,93
Marcelo Bezerra Crivella (Marcelo Crivella),Senador - PRB,200,Não disponível,20,-10,0,20,-137,93
Francisco Oswaldo Neves Dornelles (Francisco Dornelles),Senador - PP,200,Não disponível,-70,0,0,-20,-16,94
Íris de Araújo Rezende Machado (Íris de Araújo),Deputado Federal - PMDB,200,-10,-5,0,-25,20,-86,94
Janete Rocha Pietá (Janete Rocha Pietá),Deputado Federal - PT,200,45,-30,0,0,20,-141,94
Maria do Rosário Nunes (Maria do Rosário),Deputado Federal - PT,200,-85,45,-10,-25,-10,-21,94
Vilson Luiz Covatti (Vilson Covatti),Deputado Federal - PP,200,-10,-45,0,0,20,-71,94
Inocêncio Gomes de Oliveira (Inocêncio Oliveira),Deputado Federal - PR,200,35,15,-10,-75,-30,-39,96
Lourival Mendes da Fonseca Filho (Lourival Mendes),Deputado Federal - PTdoB,200,15,10,20,-100,-10,-39,96
José Alves Rocha (José Rocha),Deputado Federal - PR,200,45,-35,0,0,0,-112,98
Nelson Vicente Portela Pellegrino (Nelson Pellegrino),Deputado Federal - PT,200,-40,0,0,0,0,-61,99
Walter da Rocha Tosta (Walter Tosta),Deputado Federal - PSD,200,-80,10,0,0,0,-31,99
Darcísio Paulo Perondi (Darcísio Perondi),Deputado Federal - PMDB,200,-20,-45,0,-25,20,-30,100
Gilberto José Spier Vargas (Pepe Vargas),Deputado Federal - PT,200,35,15,0,0,0,-150,100
Zacarias Vilharba (Vilalba),Deputado Federal - PP,200,25,10,0,-100,-10,-25,100
José Alfonso Ebert Hamm (Afonso Hamm),Deputado Federal - PP,200,10,-35,0,0,20,-93,102
Vicente Paulo da Silva (Vicentinho),Deputado Federal - PT,200,-30,-10,-20,0,20,-58,102
João Felipe de Souza Leão (João Leão),Deputado Federal - PP,200,-35,5,0,0,0,-67,103
José Wellington Roberto (Wellington Roberto),Deputado Federal - PR,200,-5,-30,0,0,-20,-42,103
Josias Gomes da Silva (Josias Gomes),Deputado Federal - PT,200,0,5,0,-100,0,-2,103
Bernardo de Vasconcellos Moreira (Bernardo Santana de Vasconcellos),Deputado Federal - PR,200,5,15,0,-125,20,-11,104
Eduardo Alves do Amorim (Eduardo Amorim),Senador - PSC,200,Não disponível,25,0,0,10,-131,104
Gabriel Benedito Issaac Chalita (Gabriel Chalita),Deputado Federal - PMDB,200,-10,30,0,-125,0,9,104
Fernando Dantas Torres (Fernando Torres),Deputado Federal - PSD,200,5,25,-10,-125,-10,21,106
