Nome,cargo.partido,pontuação inicial,presença,privilégios,participação,processos,outros,qualidade,pontuação
João da Silva Maia (João Maia),Deputado Federal - PR,-,-,-,-,-,-,-,NR
João José Pereira de Lyra (João Lyra),Deputado Federal - PSD,-,-,-,-,-,-,-,NR
João Lúcio Magalhães Bifano (João Magalhães),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR
João Luiz Correia Argôlo Dos Santos (Luiz Argôlo),Deputado Federal - SDD,-,-,-,-,-,-,-,NR
João Rodrigues (João Rodrigues),Deputado Federal - DEM,-,-,-,-,-,-,-,NR
João Sandes Júnior (Sandes Júnior),Deputado Federal - PP,-,-,-,-,-,-,-,NR
Joaquim de Lira Maia (Lira Maia),Deputado Federal - DEM,-,-,-,-,-,-,-,NR
Jorge Afonso Argello (Gim),Senador - PTB,-,Não disponível,-,-,-,-,-,NR
Jorge Ney Viana Macedo Neves (Jorge Viana),Senador - PT,-,Não disponível,-,-,-,-,-,NR
José Abelardo Guimarães Camarinha (Abelardo Camarinha),Deputado Federal - PSB,-,-,-,-,-,-,-,NR
José Arnon Cruz Bezerra de Menezes (Arnon Bezerra),Deputado Federal - PTB,-,-,-,-,-,-,-,NR
José Augusto Maia (José Augusto Maia),Deputado Federal - PROS,-,-,-,-,-,-,-,NR
José da Cruz Marinho (Zequinha Marinho),Deputado Federal - PSC,-,-,-,-,-,-,-,NR
José Francisco Cerqueira Tenório (Francisco Tenório),Deputado Federal - PMN,-,-,-,-,-,-,-,NR
José Geraldo Torres da Silva (Zé Geraldo),Deputado Federal - PT,-,-,-,-,-,-,-,NR
José Nobre Guimarães (José Guimarães),Deputado Federal - PT,-,-,-,-,-,-,-,NR
José Otávio Germano (José Otávio Germano),Deputado Federal - PP,-,-,-,-,-,-,-,NR
José Perrella de Oliveira Costa (Zeze Perrella),Senador - PDT,-,Não disponível,-,-,-,-,-,NR
José Renan Vasconcelos Calheiros (Renan Calheiros),Senador - PMDB,-,Não disponível,-,-,-,-,-,NR
José Roberto Oliveira Faro (Beto Faro),Deputado Federal - PT,-,-,-,-,-,-,-,NR
José Sarney Filho (Sarney Filho),Deputado Federal - PV,-,-,-,-,-,-,-,NR
José Vieira Lins (Zé Vieira),Deputado Federal - PROS,-,-,-,-,-,-,-,NR
Josué Bengtson (Josué Bengtson),Deputado Federal - PTB,-,-,-,-,-,-,-,NR
Jovair de Oliveira Arantes (Jovair Arantes),Deputado Federal - PTB,-,-,-,-,-,-,-,NR
Júlio José de Campos (Júlio Campos),Deputado Federal - DEM,-,-,-,-,-,-,-,NR
Junji Abe (Junji Abe),Deputado Federal - PSD,-,-,-,-,-,-,-,NR
Leandro Vilela Velloso (Leandro Vilela),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR
Leonardo Lemos Barros Quintão (Leonardo Quintão),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR
Luciana Barbosa de Oliveira Santos (Luciana Santos),Deputado Federal - PCdoB,-,-,-,-,-,-,-,NR
Luis Henrique de Oliveira Resende (Luis Tibé),Deputado Federal - PTdoB,-,-,-,-,-,-,-,NR
Luiz Eduardo Francisco da Silva (Dudu Luiz Eduardo),Deputado Federal - PSDC,-,-,-,-,-,-,-,NR
Luiz Henrique da Silveira (Luiz Henrique),Senador - PMDB,-,Não disponível,-,-,-,-,-,NR
Luiz Lindbergh Farias Filho (Lindbergh Farias),Senador - PT,-,Não disponível,-,-,-,-,-,NR
Magda Mofatto Hon (Magda Mofatto),Deputado Federal - PR,-,-,-,-,-,-,-,NR
Magno Pereira Malta (Magno Malta),Senador - PR,-,Não disponível,-,-,-,-,-,NR
Marco Antonio Tebaldi (Marco Tebaldi),Deputado Federal - PSDB,-,-,-,-,-,-,-,NR
Marcos Antonio Medrado (Marcos Medrado),Deputado Federal - SDD,-,-,-,-,-,-,-,NR
Marcos Montes Cordeiro (Marcos Montes),Deputado Federal - PSD,-,-,-,-,-,-,-,NR
Maria Auxiliadora Seabra Rezende (Professora Dorinha Seabra Rezende),Deputado Federal - DEM,-,-,-,-,-,-,-,NR
Maria Dalva de Souza Figueiredo (Dalva Figueiredo),Deputado Federal - PT,-,-,-,-,-,-,-,NR
Maria Gorete Pereira (Gorete Pereira),Deputado Federal - PR,-,-,-,-,-,-,-,NR
Maurício Quintella Malta Lessa (Maurício Quintella Lessa),Deputado Federal - PR,-,-,-,-,-,-,-,NR
Mauro Mariani (Mauro Mariani),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR
Newton Cardoso (Newton Cardoso),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR
Newton Lima Neto (Newton Lima),Deputado Federal - PT,-,-,-,-,-,-,-,NR
Nilson Aparecido Leitão (Nilson Leitão),Deputado Federal - PSDB,-,-,-,-,-,-,-,NR
Osvaldo de Souza Reis (Osvaldo Reis),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR
Oziel Alves de Oliveira (Oziel Oliveira),Deputado Federal - PDT,-,-,-,-,-,-,-,NR
Paulo Cesar Justo Quartiero (Paulo Cesar Quartiero),Deputado Federal - DEM,-,-,-,-,-,-,-,NR
Paulo Fernando Feijo Torres (Paulo Feijó),Deputado Federal - PR,-,-,-,-,-,-,-,NR
Paulo Pereira da Silva (Paulo Pereira da Silva),Deputado Federal - SDD,-,-,-,-,-,-,-,NR
Paulo Renato Paim (Paulo Paim),Senador - PT,-,Não disponível,-,-,-,-,-,NR
Paulo Roberto Bauer (Paulo Bauer),Senador - PSDB,-,Não disponível,-,-,-,-,-,NR
Paulo Roberto Gomes Mansur (Beto Mansur),Deputado Federal - PRB,-,-,-,-,-,-,-,NR
Paulo Roberto Severo Pimenta (Paulo Pimenta),Deputado Federal - PT,-,-,-,-,-,-,-,NR
Paulo Salim Maluf (Paulo Maluf),Deputado Federal - PP,-,-,-,-,-,-,-,NR
Raimundo Sabino Castelo Branco Maués (Sabino Castelo Branco),Deputado Federal - PTB,-,-,-,-,-,-,-,NR
Roberto Egídio Balestra (Roberto Balestra),Deputado Federal - PP,-,-,-,-,-,-,-,NR
Rogério Carvalho Santos (Rogério Carvalho),Deputado Federal - PT,-,-,-,-,-,-,-,NR
Romero Jucá Filho (Romero Jucá),Senador - PMDB,-,Não disponível,-,-,-,-,-,NR
Rubens Moreira Mendes Filho (Moreira Mendes),Deputado Federal - PSD,-,-,-,-,-,-,-,NR
Rubens Otoni Gomide (Rubens Otoni),Deputado Federal - PT,-,-,-,-,-,-,-,NR
Sandro Antonio Scodro (Sandro Mabel),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR
Sebastião Ferreira da Rocha (Sebastião Bala Rocha),Deputado Federal - SDD,-,-,-,-,-,-,-,NR
Sérgio de Oliveira Cunha (Sérgio Petecão),Senador - PSD,-,Não disponível,-,-,-,-,-,NR
Sérgio Ivan Moraes (Sérgio Moraes),Deputado Federal - PTB,-,-,-,-,-,-,-,NR
Silas Câmara (Silas Câmara),Deputado Federal - PSD,-,-,-,-,-,-,-,NR
Sueli Rangel Silva Vidigal (Sueli Vidigal),Deputado Federal - PDT,-,-,-,-,-,-,-,NR
Valdir Raupp de Matos (Valdir Raupp),Senador - PMDB,-,Não disponível,-,-,-,-,-,NR
Valdivino Jose de Oliveira (Valdivino de Oliveira),Deputado Federal - PSDB,-,-,-,-,-,-,-,NR
Vander Luiz Dos Santos Loubet (Vander Loubet),Deputado Federal - PT,-,-,-,-,-,-,-,NR
Vanessa Grazziotin (Vanessa Grazziotin),Senador - PC do B,-,Não disponível,-,-,-,-,-,NR
Vitor Penido de Barros (Vitor Penido),Deputado Federal - DEM,-,-,-,-,-,-,-,NR
Waldir Maranhão Cardoso (Waldir Maranhão),Deputado Federal - PP,-,-,-,-,-,-,-,NR
Washington Reis de Oliveira (Washington Reis),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR
Weverton Rocha Marques de Sousa (Weverton Rocha),Deputado Federal - PDT,-,-,-,-,-,-,-,NR
William Dib (William Dib),Deputado Federal - PSDB,-,-,-,-,-,-,-,NR
Wladimir Afonso da Costa Rabelo (Wladimir Costa),Deputado Federal - SDD,-,-,-,-,-,-,-,NR
