CANDIDATO,CARGO,PONTUACAO INICIAL,PRESENCA,PRIVILEGIOS,PARTICIPACAO,PROCESSOS,OUTROS,QUALIDADE,PONTUACAO,DISPESA,UF
fatima lucia pelaes (fatima pelaes),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR,345127,AP
paulo cesar justo quartiero (paulo cesar quartiero),Deputado Federal - DEM,-,-,-,-,-,-,-,NR,148518,RR
iara bernardi (iara bernardi),Deputado Federal - PT,200,50,55,0,0,20,1,326,123338,SP
assis miguel do couto (assis do couto),Deputado Federal - PT,200,-30,-45,0,0,10,-116,19,197336,PR
jose airton felix cirilo da silva (jose airton),Deputado Federal - PT,200,-25,-40,0,-100,10,47,92,337274,CE
sandro antonio scodro (sandro mabel),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR,4680406,GO
jose roberto santiago gomes (roberto santiago),Deputado Federal - PSD,200,60,-5,0,-100,0,-78,77,516553,SP
luiz carlos jorge hauly (luiz carlos hauly),Deputado Federal - PSDB,200,60,50,0,-25,-20,70,335,2104238,PR
antonio pinheiro junior (toninho pinheiro),Deputado Federal - PP,200,-10,15,10,-100,-20,50,145,1981358,MG
reinaldo azambuja silva (reinaldo azambuja),Deputado Federal - PSDB,200,40,10,0,-150,0,10,110,2999446,MS
carlos alberto cavalcante de souza (carlos souza),Deputado Federal - PSD,-,-,-,-,-,-,-,NR,247710,AM
emanuel fernandes (emanuel fernandes),Deputado Federal - PSDB,-,-,-,-,-,-,-,NR,463029,SP
jose abelardo guimaraes camarinha (abelardo camarinha),Deputado Federal - PSB,-,-,-,-,-,-,-,NR,706808,SP
aelton jose de freitas (aelton freitas),Deputado Federal - PR,-,-,-,-,-,-,-,NR,1419055,MG
joao da silva maia (joao maia),Deputado Federal - PR,-,-,-,-,-,-,-,NR,917662,RN
sandro alex cruz de oliveira (sandro alex),Deputado Federal - PPS,200,80,10,0,0,20,42,352,175409,PR
jose francisco cerqueira tenorio (francisco tenorio),Deputado Federal - PMN,-,-,-,-,-,-,-,NR,314799,AL
luiz carlos gomes dos santos junior (luiz carlos),Deputado Federal - PSDB,200,-50,-10,0,0,20,27,187,119058,AP
stepan nercessian (stepan nercessian),Deputado Federal - PPS,200,5,30,0,0,0,-20,215,168065,RJ
marcelo theodoro de aguiar (marcelo aguiar),Deputado Federal - DEM,200,-5,5,-10,-25,10,-5,170,349876,SP
manoel alves da silva junior (manoel junior),Deputado Federal - PMDB,200,35,-40,0,0,0,-27,168,828776,PB
osvaldo de souza reis (osvaldo reis),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR,690777,TO
